UID,DOMAIN,ERROR CODE,DESCRIPTION,ACTION,SAMPLE TICKET,SAMPLE IM,LAST UPDATE,REP
176,XSI,P023,Example:|Error retrieving list stores,** THIS DOES NOT APPLY TO MCKESSON / PUBLIX ** When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.||MCKESSON / PUBLIX:|Ensure that the account has a STORES list. If yes - retry. If the error returns -escalate to determine why the list can not be found. If no - open a Siebel ticket and assign it to Q:CS_IX_FAX2MAIL_ORDER_ENTRY,,,3/27/2024,WLAO
177,XSI,P024,Example:|Missing Content,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
178,XSI,P028,Example:|Non-existant parser,Escalate.,,,3/27/2024,WLAO
179,XSI,P100,Example:|Unable to read header,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
180,XSI,P101,Example:|Invalid answerback string,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
181,XSI,P102,Example:|unrecognized address type,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
182,XSI,P105,Example:|missing or invalid dial digits,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
183,XSI,P112,Example:|attention line is too long,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
184,XSI,P116,Example|PDF content is missing,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
185,XSI,P116,Example:|Incomplete message,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
186,XSI,P501,Example:|Error -6 calling pauseJobDbBegin() Database: X1TLOG1.TLOG command: aux_tlog_db..pauseJobDbBegin 178309135 US1 xsi XOA 1 <-pausejobdbbegin_3_svc: in PROCSTATUS sprocResult = -6 (pausejobdbbegin_3_svc(): nonspecific error -6) <-Message number: 208 Severity 16 <-State 1 Line 689 <-Server 'X1TLOG1' <-Procedure 'pauseJobDbBegin' <-Message String: tlogav..user_job_tbl not found. Specify owner.objectname or use sp_help to check whether the object exists (sp_help may produce lots of output).,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
187,XSI,P702,Example:|Preprocessor List Error,Escalate.,,,3/27/2024,WLAO
188,XSI,Q104,Example:|QuotaStatus: sproc call 'exec quota_status 862522 1 1628585172 'I' '11/02/2016 08:04:51' 0.414000 ' returned -3,Retry.,,,3/27/2024,WLAO
189,XSI,Q104,Example:|sproc call 'exec quota_job_usage_ins_upd 1628585280 862522 0.020000 '11/02/2016 08:08:07' 'C' ' returned -3,Retry.,,,3/27/2024,WLAO
190,XSI,Q108,Example:|Error [4]: MisProxy Server error. Server error num: 2 Server error msg: parse_phone(): Can't parse the phone '0118002683313',Cancel.||'800' is not a valid country code. These are typically RFC customers and they need to be notified via proper channels that this is occurring as the cancellation notices will not reach them.,,,3/27/2024,WLAO
191,XSI,Q108,Example:|Error [4]: MisProxy Server error. Server error num: 2 Server error msg: CustomerRate: No rates defined for customer_no = 865081 (customer_type=855056) currency_type=2 delivery_type='N' rate_category=2 list_id=0 line_type=0.,Determine if the destination number is a valid fax number.|If so - contact the sales rep. If not -cancel the job.||'800' is not a valid country code. These are typically RFC customers and they need to be notified via proper channels that this is occurring as the cancellation notices will not reach them.,,,3/27/2024,WLAO
192,XSI,Q115,Example:|DMDoc::close<-DocManager::DM_close(),Escalate a ticket.,,,3/27/2024,WLAO
193,XSI,Q116,"Example:|getDetail(job_no sjob_no sjob_no jobDetailVector** DbPartId&): Database: X1TLOG1.TLOG, command: bcdDetail3ByBSJob 1456207319 2 1000 1 <-getdetail3_3_svc: call to stored procedure failed",Retry.,,,3/27/2024,WLAO
194,XSI,Q204,Example:|1763876957-11: EXPIRATION Pull item 4702975 missing,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
195,XSI,Q211,Example:|No description,Escalate a ticket.||If these are in the queue - it means auto-retry has been exhausted - so they should be escalated for research.,,,3/27/2024,WLAO
196,XSI,Q212,Example:|No description,Retry.,,,3/27/2024,WLAO
197,XSI,Q213,Example:|No description,Escalate a ticket.||If these are in the queue - it means auto-retry has been exhausted - so they should be escalated for research.,,,3/27/2024,WLAO
198,XSI,R100,Example:|cannot stat file xsimcpproc1(800 800):/xsimcpproc1/mcp/run/forms/au/report_report_sap_dsn.out,Example:|Correct the report name in the profile and retry the error.,,,3/27/2024,WLAO
199,XSI,R100,Example:|cannot stat file xsimcpproc1(800 800):/xsimcpproc1/mcp/run/forms/fr/report_csvattach.out,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
200,XSI,R101,Example:| gen_report() - accum sums. fseek to 1221 failed (errno 28),Retry.,,,3/27/2024,WLAO
201,XSI,R102,Example:|missing endif,Retry.,,,3/27/2024,WLAO
202,XSI,R102,Example:|bad macro [$CANCREASON411],Retry.,,,3/27/2024,WLAO
203,XSI,R102,Example:|Empty Report Generated; Check Template,If the report template is pospay and the report_type is summary - cancel the error.,,IM1470235|IM1478030,3/27/2024,WLAO
204,XSI,R104,Example:|Unable to get HDR <1504391637> Hm_Errno <501>,Retry.,,,3/27/2024,WLAO
205,XSI,R108,Example:|do_first : Could not get detail. getReportDetail() failed. DBPART error 0 Database: XTLOGUS1.TLOG command: bcdReportEventsByBSJob 1531037366 2 null 1 0 0 1000 0 0 0 <-getreportevents_3_svc: case PROCSTATUS: call to stored procedure failed.,Work the child jobs and/or wait for them to complete. Once the child jobs are complete - retry the error and the report should generate clearing the error.|If there are no child jobs - escalate a ticket.||In most cases these errors occur because a child job has not finished for some reason (errored scheduled etc.) When this occurs the child jobs must be completed or off the error queue for the report to generate.||Use batchlist -s <-job id-> to see the the status of the child jobs. ,,,3/27/2024,WLAO
206,XSI,R114,Example:|create_mult_docs: Could not find indoc format keyword in header for job <1631475874>,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
207,XSI,R118,Example:|Report could not get uan[1608288] info from database,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
208,XSI,R130,Example:|Unable to set the virtual domain for uan 2546121 (2546121),Retry.,,,3/27/2024,WLAO
209,XSI,R136,Example:|attach_doc macro: requires document num in hdr.,If another error occurs due to a drop copy situation the sales rep for the customer should be contacted so that they can investigate with product management what it would take the upgrade the application to support this feature for their customer.,,IM1510776,3/27/2024,WLAO
210,XSI,R145,Example:|Could not get summary.  getReportStatus() failed. Error Set 0 error -9999,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
211,XSI,R157,Example:|gen_report() - accum sums. fseek to 754 failed (errno 28),Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
212,XSI,R159,Example:|user_id : F2M/86603620679 err_desc : Conflicting codesets in for USER:ATT [UTF-8-ISO-8859-1].,Use Profile Managment and go to FAXREACH - choose char_set - change the value to UTF-8.  Save and then retry the error.,1-5979369412,,3/27/2024,WLAO
123,XSI,R202,Example:|Could not get input document from doc store,Retry.|If it returns - check to see if the error is in drop copy. If so - cancel the job on Reports.|If it returns and the error is not on drop copy -escalate a ticket.,,IM1517664,3/27/2024,WLAO
214,XSI,R204,Example:|Could not get letterhead: DEMO MAPFRE,The letterhead was not found. The customer can provide the letterhead for the graphics team to install - after which the error can be retried.|If the letterhead is not available to install - cancel the error.||The available letterheads for a customer can be viewed in Exceed.,,,3/27/2024,WLAO
215,XSI,R213,Example:|Failed retrieving object: T2/BANCO/ACH BANCOPOP 613480 89326 89327,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
216,XSI,R214,Example:|Cannot get job header file from Qitem,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
217,XSI,R215,Example:|Failed to get secure password for UAN=2562575 dbget_errno=225 dbget_reason=1070,Contact the customer and have the reset their password for inbound PDF files - then retry the error. Do NOT change this password without speaking to the customer.||This password is found in My Preferences -> Receive Preferences -> Fax Settings Set PDF Password. ,,,3/27/2024,WLAO
218,XSI,R215,Example:|Raster Controller internal error (mkdir /xdds/raster/in/67885),Retry. If it returns - check the file. If there are issues with the file that prevent processing - ok the error. If the file should process - escalate a ticket.,,,3/27/2024,WLAO
219,XSI,R223,Example:|pageCount has exceeded max number of pages,OK.,,,3/27/2024,WLAO
220,XSI,R223,Example:|unable to get logo TOP from the ResourceManager,OK.,,,3/27/2024,WLAO
221,XSI,R225,Example:|pageCount has exceeded max number of pages,Contact the customer and notify them that they are periodically sending in documents with no data.|Ok.,,,3/27/2024,WLAO
222,XSI,R225,"Example:|unable to get logo ""TOP"" from the ResourceManager",Contact the customer and notify them that they are periodically sending in documents with no data.|Ok.,,,3/27/2024,WLAO
223,XSI,R229,Example:|The TIFF-F or XAR (tiffx) Format translation failed,Retry.,,,3/27/2024,WLAO
224,XSI,R229,Example:|The TIFF-F or XAR (tiffx) translation terminated abnormally,Retry.|If it returns - (ok?/cancel?)||Please include the notes when cancelling the job with notice:|The job shown above has been delivered successfully but there was an issue with the report translation thus causing the R229 error.  ,,,3/27/2024,WLAO
225,XSI,R235,Example:|PostScript translation PS_G1 produced no or empty pages,Retry.|OK.,,,3/27/2024,WLAO
226,XSI,R236,Example:|PDF translation PDF_G1 failed (1),OK.,,,3/27/2024,WLAO
227,XSI,R244,Example:|pageCount has exceeded max number of pages,Escalate a ticket.,,,3/27/2024,WLAO
228,XSI,R248,Example:|PostScript translation PS_G3 failed (1),MSDW Only:|According to Dev:|Cancel the jobs and edit the profile to remove PS:G3. The profile should correctly contain PS:G2. The customer will need to resubmit the job(s).|Ensure that you send the manual cancellation file so that the job updates on the Morgan Stanley side. If you do not know how to do this - ask for assistance as it MUST be done for every cancelled job.|According to Jill and Raja:|The profile should not be changed as MSDW is testing. Please see Jill and Raja for how to proceed.,,IM1480163,3/27/2024,WLAO
229,XSI,R310,Example:|No items found to send,Kill.,,,3/27/2024,WLAO
230,XSI,R317,Example:|TLOG does not show this job to be DONE,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
231,XSI,R318,Example:|TLOG and Job Manager child count mismatch,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
232,XSI,R326,Example:|Unable to find subjob to resend,Kill.,,,3/27/2024,WLAO
233,XSI,R332,Example:|Unable to copy attach1:indocno document 61023771: job/user numbers do not match those of the original job,Kill.,,,3/27/2024,WLAO
234,XSI,R333,Example:|Unable to copy indoc: document 54321592: original document has size zero (0),Kill.,,,3/27/2024,WLAO
235,XSI,S100,,Correct the report template name.|Retry.,,,3/27/2024,WLAO
236,XSI,S101,,Correct the report template name.|Retry.,,,3/27/2024,WLAO
237,XSI,S104,Example:|err_detail : Unable to get HDR <1773264763> Hm_Errno <504>,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
238,XSI,S108,Example:|err_detail : do_first : Could not get detail.  getReportDetail() failed. DBPART error 26 getStatus(): server call failed,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
239,XSI,S121,,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
240,XSI,S130,,Retry.,,,3/27/2024,WLAO
241,XSI,S145,,Retry.|If it returns- escalate a ticket.||**This may be a virtual domain error.**,,,3/27/2024,WLAO
242,XSI,S159,Example:|bill_to : xsi/jill|err_detail : Conflicting codesets for USER:ATT [UTF-8-ISO-8859-1].,Use Profile Managment and go to FAXREACH -> choose char_set -> change the value to UTF-8.  Save and then retry the error. Change the char_set back to the original value.,,,3/27/2024,WLAO
243,XSI,S162,Example:|List item 1 is missing keyword ref||Required list keywords missing or invalid|The group formatter requires certain keywords in the list|Edit the list and insert the keywords as needed.,Retry once; if returns escalate ticket to get account information to fix schedule report|In ticket ask for account information to investigate the failure,,,3/27/2024,WLAO
244,XSI,S603,Example:|Can't access eventStoreAPI server (DBPART_FAIL),Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
245,XSI,S604,Example:|Form is not registered,Kill.,,,3/27/2024,WLAO
246,XSI,S605,Example:|ESME facade exception caught,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
247,XSI,S609,Example:|No UAN associated with short code.,Kill.,,,3/27/2024,WLAO
248,XSI,S610,Example:|DSS error,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
249,XSI,U106,Example:|Queue item missing the USER/USER keyword,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
250,XSI,U110,Example:|Cannot write user_job_tbl or jobPartition_tbl.,Retry.|If it returns- escalate a ticket.||This is caused when the job numbers roll over but on the back end they are still in the database with old information because purge either hasn't run or is not keeping up. ,,,3/27/2024,WLAO
251,XSI,W200,Example:|WinRaster Failed DocFx Diagnostic Test,Escalate a ticket unless told it is ok to Kill.,,,3/27/2024,WLAO
252,XSI,W201,NT Host Failed Time Sync with Switch,Escalate a ticket unless told it is ok to Kill.,,,3/27/2024,WLAO
253,XSI,W300,Example:|WinGen Internal Error,Retry.|If it returns - check the file. If there are issues with the file that prevent processing - ok the error.|If the file should process - test it on your account with different translators. If you are able to test the file successfully - escalate a ticket.|If you cannot successfully process the file with any translator - ok the error.,,,3/27/2024,WLAO
254,XSI,W302,Example:|WinGen Internal Error,Retry.|If it returns - check the file. If there are issues with the file that prevent processing - ok the error.|If the file should process - test it on your account with different translators. If you are able to test the file successfully - escalate a ticket.|If you cannot successfully process the file with any translator - ok the error.,,,3/27/2024,WLAO
255,XSI,W303,Example:|Job Processing Terminated,Retry.|If it returns - check the file. If there are issues with the file that prevent processing - ok the error.|If the file should process - test it on your account with different translators. If you are able to test the file successfully - escalate a ticket.|If you cannot successfully process the file with any translator - ok the error.,,,3/27/2024,WLAO
256,XSI,W303,Example:|Paper size <Custom> specified in the Document is not supported.|Paper size <Envelope10> specified in the Document is not supported.|Paper size <A3> specified in the Document is not supported.,OK.,,,3/27/2024,WLAO
257,XSI,W402,Example:|Job 175921248-11: failed to open document (docno = 109146776) : MemZip::open() failed!,**Likely to be CVS**|Retry. If it returns - escalate a ticket - Medium priority.,,IM1440074,3/27/2024,WLAO
258,XSI,W404,Example:|Q1072: Error logging bcDetail for XQN 1: DBPART error 26 doLog(): server call failed,Retry.|If it returns- escalate a ticket.,,IM1688620,3/27/2024,WLAO
259,XSI,W405,Example:|Job 176421726-23: Failed to open the OCR XML file [176421726-001.xml] : Xml2Doc::open() failed!,**Likely to be CVS**|Retry. If it returns - escalate a ticket - Medium priority.,,,3/27/2024,WLAO
260,XSI,W507,Example:|WEBDA No Orchestration CorrelationID found in job HDR,Retry.|If returns after 3 retries - escalate a ticket.,,,3/27/2024,WLAO
261,XSI,X001,Example:|MCKESSON_DA - All retries failed. This should not happen. Customer server may be down. Check the debug log for more details,Follow the document.||If it is determined that the ded_line cannot be reached - contact McKesson at EnterpriseRxSupport@mckesson.com.,,,3/27/2024,WLAO
262,XSI,X006,Example:|Qitem/Keys/attachments value has a syntax error.,Always verify that edmta is set up correctly for the user when you see an X006 error. **PLEASE check the customer level - as well.**|Verify that edmta is set up correctly.|Cancel the job with notice.||Instructions: All Fax2Mail users should have 'edmta' in the me_email_delivery profile element in the MR section of the profile.,,,3/27/2024,WLAO
263,XSI,X006,Example:|UNABLE to get FILENAME for the attachment.,Always verify that edmta is set up correctly for the user when you see an X006 error. **PLEASE check the customer level - as well.**|Check the  header to see if a report has been requested for an already purged job. If so - cancel the error.||Instructions: All Fax2Mail users should have 'edmta' in the me_email_delivery profile element in the MR section of the profile.,,IM1521232,3/27/2024,WLAO
264,XSI,X008,Example:|Password Expiration Notification program encountered ERROR: getRemindInfoEntry: ERROR: dbget_password_notifications API failed; db_errno='2'; db_reason=0,Escalate for review.,,,3/27/2024,WLAO
265,XSI,X009,Example:|Message Parsing Error,Kill.,,IM1549425,3/27/2024,WLAO
266,XSI,X202,,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
267,XSI,X501,Example:|read_the_message() failed to get the input document,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
268,XSI,X501,Example:|read_the_message() failed PGP encrypt the input document,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
269,XSI,X504,Example:|OpenSSH authentication key (SOS) access failure,Retry.|Cancel.,,,3/27/2024,WLAO
270,XSI,Y102,Example:|Can't insert List 1625344/#sw-brkr-rg-whl-c on usmr2 with modtime 3/1/17 23:01:20 EST because it already exists with modtime 2/28/17 23:01:01 EST,If the modification date of the source is newer - OK the error.||If the modification date of the source is older - KILL the error. ,,,3/27/2024,WLAO
271,XSI,Y102,Example:|Can't update Report template jp/km/rpt_list_0418 on jp at modtime 6/11/17 21:09:40 EDT because destination object is newer (6/12/17 9:23:48 EDT),If the modification date of the source is newer - OK the error.||If the modification date of the source is older - KILL the error. ,,,3/27/2024,WLAO
272,XSI,Y103,Example:|Can't populate Stored Object -727782/tts/thout,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
273,XSI,Y104,Example:|Can't replicate List 2712180/#.f2m_recip_list.2712180 to sxsi,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
